uuid,work_id,work_level,work_name,school,player,tutor
Table3_20,68643,三等奖,基于众源数据的新疆旅游业可视化平台,南京工业大学浦江学院,薛龙花、戴坤、李牧晓,圣文顺、张会影
Table3_21,68644,一等奖,《抗击新冠肺炎》,徐州工程学院,杜蕾、王晓雨、田月影,刘阳、张显卫
Table3_22,68649,二等奖,翰林书香苑,大连海事大学,刘耐彤、何美霖、葛菲,胡青
Table3_23,68655,三等奖,漫画《祭花神》,徐州工程学院,朱立强、浦菘芸,刘阳、张显卫
Table3_24,68666,二等奖,书缘,大连海事大学,丁家乐、丁俊源、夏志超,王伟
Table3_25,68671,二等奖,刻雾裁风——刻出来的蔚县剪纸,大连海事大学,刘玥杨、盖耀铭、李霜艳,季昉
Table3_26,68681,二等奖,鸠摩罗什之龟兹佛渡,大连海事大学,马可忆、李家瑜,胡青
Table3_27,68684,三等奖,梦回,大连海事大学,赵龙雨、李阳、盖耀铭,刘一莎
Table3_28,68689,三等奖,环游中国去寻鸟,大连海事大学,孔繁智、张延钊、郭鹏,N/A
Table3_29,68694,二等奖,归巢,大连海事大学,陈晖、李大庆、史玉鹏,朱斌
Table3_30,68712,一等奖,X 校园疫情防控智能解决方案,盐城工学院,夏旻、陶奕阳,徐秀芳、裴森森
Table3_31,68717,二等奖,南国梦远——那一场风花雪月的事,盐城工学院,宣景然、唐伟强,李勇、姚爱华
Table3_32,68718,三等奖,基于单应性变换和特征窗口的车道线检测方法及系统,淮阴工学院,詹井波、俞清文,高尚兵、于长辉
Table3_33,68724,三等奖,《梦海拾遗》,南京工业大学,陈丽康、顾展宇,罗榕榕
Table3_34,68726,三等奖,《民族的记忆》,南京工业大学,金珑珑、陆佳宁、江沄、王欣雨、袁鸣宇,陈岑
Table3_35,68730,二等奖,《招财猫》,南京工业大学,沈秋艳、赵玉、郭雷蓉,陈岑
Table3_36,68736,二等奖,敦煌 112 窟天宫 3D 场景交互设计,南京工业大学,周亦杨、赵玉、朱黎、朱开业、邱雨萱,吴捷、杨思琦
Table3_37,68739,三等奖,保卫小鸟,淮阴工学院,徐奎、邢骐家、吴楠、薛佳祺、刘雯慧,陶志行、陈宏明
Table3_38,68740,一等奖,地铁人流密度智能监控系统,南京工业大学,徐硕、袁天、刘溪芃,王莉
Table3_39,68745,三等奖,基于 BERT 特征融合的可视化旅游系统,淮阴工学院,李伟、姚宁波、王通阳,高尚兵、张海艳
Table3_40,68755,三等奖,药动学蛋白社区,中国药科大学,王佳萌、路婷、孔德晟,古锐、海滨
Table3_41,68757,三等奖,基于反向代理的服务分发引擎,江苏海洋大学,印国林、张禹鸿、王真,赵启升、陈茂华
Table3_42,68758,二等奖,基于物联网的医院点滴监测管理系统,江苏海洋大学,符裕亮、郭鹤魁、戴舟尧,薛清、陶莎
Table3_43,68763,三等奖,智能柔性光伏温室大棚种植和循环清洗装置,常州工学院,刘子康、庞贺振、钟金超,陈功、刘迪茜
Table3_44,68765,二等奖,基于云的家居生活,常州工学院,张俊杰、魏子祥、钱心志,李晓芳、李曙英
Table4_45,68767,二等奖,零售药店信息管理系统,中国药科大学,兰丽容,赵鸿萍、杨帆
Table4_46,68773,三等奖,基于演化博弈的突发事件中网民情感状态演变规律研究,江苏海洋大学,樊继冬、黄康、王艺霖,仲兆满、管燕
Table4_47,68778,三等奖,新速率 CDN 全球加速系统,淮阴师范学院,戴威、沈凌昀、王浩,席倩、安梦生
Table4_48,68784,二等奖,神奇的画笔,淮阴师范学院,盛子豫、刘欣媛、刘晓林,蒋霞
Table4_49,68785,二等奖,勾股定理,淮阴师范学院,高畅、董洁、陈佳楠,杨绪辉、罗冬梅
Table4_50,68788,三等奖,趣先知,呼伦贝尔学院,樊志刚、闫晓宇,马秀荣
Table4_51,68796,三等奖,人脸识别下的图书推荐系统,南京理工大学紫金学院,田越、陈天宇、陈贤,杜兰
Table4_52,68803,三等奖,衣如故,南京理工大学紫金学院,袁子麟、胡丹妮,朱惠娟
Table4_53,68807,二等奖,计算机组成原理虚拟仿真实验平台,南京理工大学紫金学院,夏睿、徐谦、徐煜辉,朱惠娟、戴丽丽
Table4_54,68811,三等奖,匠心比心,南京大学金陵学院,石纪元、舒诗、施宇松、苏家卫,常宇峰
Table4_55,68818,三等奖,智能排课系统,呼伦贝尔学院,何睦、胡家惠、白俊霞,吕鹏宇、凃云杰
Table4_56,68824,二等奖,智能药箱—用科技做家庭的健康卫士,大连海事大学,王晨、潘侠云、郝宁,赵妍
Table4_57,68829,二等奖,智能篮球辅助训练手套,大连海事大学,贾明晖、郭宇森、杨媛翔,柳丽川
Table4_58,68852,三等奖,中医药防治新冠肺炎数据采集与分析平台,南京中医药大学,何佳怡、孙雯雯、戴秋晨,胡孔法、谢佳东
Table4_59,68854,三等奖,方寸显圣,南京中医药大学,刘稚雅、刘为相、褚雨婷、李岳鹏、孙懿贤,苏传琦、李新霞
Table4_60,68867,三等奖,小智干湿艾灸仪,南京中医药大学,胡锦飞、张无双、储雯佳,陆志平
Table4_61,68876,一等奖,管道医生—自适应变径式油气管道裂缝诊断机器人,大连海事大学,李大庆、张心怡、张天哲,陈颖
Table4_62,68878,二等奖,纸愿~盛京李氏掐纸,中国医科大学,王予萌、刘明睿、王馨羚、孟依琳、赵文旭,徐东雨
Table4_63,68882,二等奖,印海,江苏海洋大学,刘欣、崔翰林、高雨轩,王栋、杨清
Table4_64,68883,二等奖,嘻哈酷肖,江苏海洋大学,刘欣、高亦婷、宗静瑶、张珊、俞颖,王栋、杨清
Table4_65,68885,二等奖,祥瑞志,江苏海洋大学,高晨、王珂、韩巍、王建慧、杨静雯,王栋、杨清
Table5_66,68887,三等奖,拾遗,内蒙古科技大学包头师范学院,何涛坤、黄锦璇、李欣,郭宏升、夏玉芹
Table5_67,68895,三等奖,基于 springboot 内蒙古旅游攻略,内蒙古科技大学包头师范学院,陈国勋、王丽媛、王健安,王文忠、陈超
Table5_68,68899,二等奖,印象 · 四合,南京大学金陵学院,袁子雯、周澄、许露露,常宇峰
Table5_69,68901,三等奖,传感器虚拟实验平台,常州工学院,张畑畑、杨中国、桂杨海,张美凤、张亚锋
Table5_70,68903,三等奖,智能医护小助手,常州工学院,叶绍康、石朗杰、曹颖,郭杰、孟飞
Table5_71,68904,二等奖,基于生物电及视觉感知的特殊人群辅助系统,常州工学院,王信凯、沈振野、顾瀛,郭杰、葛为民
Table5_72,68907,三等奖,多元学术成果分析系统,南京理工大学,李志诚、刘城、郝洋,陈果
Table5_73,68911,二等奖,“一带一路”沿线国家专利技术合作可视化分析系统,南京理工大学,冯海娇、陈巧钰、洪贇,颜端武
Table5_74,68915,二等奖,基于网络表示学习的专利信息分析系统,南京理工大学,张才溢、常颖逍、周岑钰,张金柱
Table5_75,68928,三等奖,基于改进的 K-Means 算法的高校助贫决策系统研究与实现,内蒙古科技大学包头师范学院,刘海英、姚志强、韩帅,马占飞、刘爱军
Table5_76,68929,三等奖,HotTopics—基于大数据的政务信箱热点问题挖掘,江苏理工学院,柴乃全、程翔宇、顾京,朱明放
Table5_77,68930,二等奖,“随课记”—— 基于 SSD_Mobilenet 和 OpenCV 的课堂笔记 APP,东南大学成贤学院,吴凡、张琳琳、陈家伟,王梦晓、操凤萍
Table5_78,68934,三等奖,海洋世界,江苏大学,顾天祺、贾涵晓、严家皓、陈浩然,刘哲
Table5_79,68937,三等奖,面向新冠抗疫的智慧无人超市快速购物系统,江苏大学,于彤、杜伟、文世伟,成科扬
Table5_80,68950,二等奖,中国梦之唐诗宋词德育篇,江苏大学,邵明铭、蔡留宝、郑维维,王华、卜广庆
Table5_81,68952,三等奖,水墨晕染——AE 轨道遮罩,江苏大学,石发军、杨宇晴、凌笑,王华、陆道坤
Table5_82,68955,一等奖,重净之岛—针对青少年的垃圾分类信息图形设计,江苏大学,周瑜、王怡、王昕越,朱喆、戴虹
Table5_83,68956,二等奖,光耀乾坤---画给儿童的中国古代灯具图典,江苏大学,陈文豪、李柯熠、黄欢,朱喆
Table5_84,68958,一等奖,运河城载,江苏大学,陈心田、包琦、段薇薇,朱喆、戴虹
Table5_85,68959,三等奖,江南园林中窗格元素纹样的计算机数学拓扑变形,江苏大学,冯星乐,承恺
Table6_86,68960,一等奖,结庐梦溪——《梦溪笔谈》科学与人文精神主题空间设计,江苏大学,张宇涵、季柏良、黄政祺,韩荣、李莎
Table6_87,68969,二等奖,阿福的诞生,江苏大学,平静、沈晴、陆佳怡,崔晋
Table6_88,68983,二等奖,《山居秋暝》,大连财经学院,苏梓浩、惠诗瑶、周金昱,李鹤、付琳
Table6_89,68984,三等奖,光合作用,大连财经学院,杨晓昱、王英爽、潘萌,李鹤、刘丹
Table6_90,68988,三等奖,青衣初见,大连财经学院,李俊康、籍祺、任宇、李滢玮、李诗羽,王洪艳、蒋再兴
Table6_91,68990,三等奖,德馨中医,大连财经学院,范馨,王莉莉
Table6_92,68991,二等奖,《三姨的酸菜》,大连财经学院,石铖、高圣凯、刘林昊,王莉莉
Table6_93,68993,二等奖,味道的秘密,大连财经学院,高圣凯,王莉莉
Table6_94,69002,二等奖,食物发霉，留神“致命杀手”黄曲霉,广州大学华软软件学院,张琪煌、邱奕、伍青青,吴晓波
Table6_95,69003,三等奖,人类目前为什么无法抵抗艾滋病？,广州大学华软软件学院,林泳滨、丁莹、李琼,吴晓波
Table6_96,69005,二等奖,灰承,韶关学院,邵秋月、傅沈钧、刘志源,滕厚雷
Table6_97,69008,三等奖,智能宠物管家,韶关学院,梁海亮、康焕乾、梁雁廷,黄雄华
Table6_98,69009,三等奖,行人闯红灯识别检测系统,江苏大学,张振、范佳屹,潘雨青
Table6_99,69010,一等奖,过零丁洋,广东药科大学,陈叶纯、郑壮芬,张琦
Table6_100,69014,三等奖,交通时空大数据分析挖掘系统,韶关学院,韦明康、林进文、李思乐,蒋昌金
Table6_101,69020,二等奖,陶上功夫,韶关学院,戴友锋、郑温仪、伍皓蓝,黄德群
Table6_102,69021,三等奖,惠东渔歌,韶关学院,曾锦乐、刘涛、蔡晓玲、陈嘉薇、杨湧城,滕厚雷
Table6_103,69024,三等奖,渡人·留誉,韶关学院,江彩溶、苏鑫辉、苏煜辉,陈正铭
Table6_104,69025,三等奖,潮汕粿文化,韶关学院,方乐涛,刘群
Table6_105,69027,三等奖,月球探索——月相,韶关学院,韩建勤、陈华晶、何海生,张丽娜
Table6_106,69031,一等奖,创联智慧酒店服务平台,韶关学院,苏煜辉、欧倬玮、林佳煜,陈正铭
Table6_107,69037,三等奖,梦境旅人-基于大数据集解梦记梦分享梦为一体的WebApp,韶关学院,戴深龙、廖文禧、欧阳沅,彭浩
Table6_108,69039,三等奖,MathGo-机器视觉算式计算小程序,韶关学院,陈慧涛、张培炎,陈正铭
Table6_109,69040,三等奖,SLAMPX-基于 NB-IoT 的智慧路灯管控平台,韶关学院,李珊、黄颖丽、苏明炜,霍英
Table6_110,69041,二等奖,5G 智慧小镇,韶关学院,余锦程、林芷冰、苏思燕,林育曼
Table7_111,69044,三等奖,剪韵灯,韶关学院,陈敏思、王滔,吕梦为
Table7_112,69045,二等奖,沈阳故宫：我们在未来相遇,沈阳城市学院,明柳、孙莉媛、汤亦豪、李想、杨子琪,乔睿、杨帆
Table7_113,69049,三等奖,基于 VR 技术的电力系统教学仿真平台,中山大学南方学院,严坤涛、张荣翊、彭铭贤,苑俊英、邓达荣
Table7_114,69050,二等奖,基于深度残差神经网络的新冠肺炎 CT 图像检测,广东医科大学,练振宏、陈梓珊、苏燕忠,向函
Table7_115,69051,二等奖,飞鸟重生馆,广东药科大学,陈志聪、王子鑫、林荣星,张琦、陈思
Table7_116,69058,三等奖,量趋 · 基于 LSTM 的股票走势预测及量化交易平台,华南师范大学,钟凤琪、岑少琪、邓飞燕,吴干华
Table7_117,69059,二等奖,“雅颜”——妆颜测评与分享系统,华南师范大学,麦成源、庄杰颖、王冰冰,梁艳
Table7_118,69060,三等奖,基于深度学习的时装 AI 分析系统,华南师范大学,胡昊天、郑雅芝,梁艳
Table7_119,69061,三等奖,DL-SLM 工作区域识别系统,华南师范大学,苏霖锋、陈晓敏、张婉淳,焦新涛
Table7_120,69062,三等奖,优行·智能危险驾驶行为预警系统,华南师范大学,郑柏涛、张晓基、黄承书,李小亚
Table7_121,69063,二等奖,“去瑕”,华南师范大学,何志豪、蔡洪华、岑少琪,丁美荣
Table7_122,69067,二等奖,森灵图鉴,华南师范大学,岑少琪、陈纯纯、郭静瑶,杨桂芝
Table7_123,69070,二等奖,楷书之美,华南师范大学,曾成昌、麦艮廷,丁美荣
Table7_124,69076,三等奖,重拾,华南师范大学,林秋吟、刘诗情、吴翠妍,张洋
Table7_125,69078,三等奖,MindLink-Eumpy：基于深度学习的多模态情绪识别系统,华南师范大学,李瑞新、蔡兆信、黄文鑫,潘家辉
Table7_126,69079,三等奖,口罩清——基于 GAN 的口罩去除与人脸还原系统,华南师范大学,蔡洪华、岑少琪、何志豪,丁美荣
Table7_127,69080,三等奖,FitME——基于肌电传感器与计算机视觉的动作校正训练系统,华南师范大学,江佳凌、梁鸿振、吴易玲,张洋
Table7_128,69088,二等奖,苗族服饰元素与现代变通,华南师范大学,蒋沂涵、林卓妍、张慧辰,梁政、李桂英
Table7_129,69092,二等奖,图解港珠澳大桥,华南师范大学,钟金萍、莫等娴,李桂英、郭泽颖
Table7_130,69093,三等奖,基于“区块链”技术的智慧教学助学助考综合服务系统-举科系统,华南师范大学,高思萍、邬特,曾锡山、黄秋水
Table7_131,69094,二等奖,《吃米饭真的会变胖吗？——五分钟了解减脂饮食》,华南师范大学,吕思源、王佳慧,李桂英、张新华
Table7_132,69099,三等奖,君子如玉,华南师范大学,赖雨彤,李桂英、郭泽颖
Table8_133,69106,三等奖,诗情鹊意,华南师范大学,刘良鑫、谢淦煜、谭珮祺、余得绪、陈宗楠,李琴、杨桂芝
Table8_134,69108,三等奖,BirdEating,华南师范大学,林勉芬、陈泓、姜文婷,杨桂芝、李琴
Table8_135,69117,二等奖,影子之谜,华南师范大学,郭佳丽、成姝月,张新华
Table8_136,69123,三等奖,一种基于整数小波变换的直方图平移的可逆水印方案,辽宁师范大学,孙佳慧、赵健、李昊洋,石慧
Table8_137,69127,三等奖,5G 的五技之长,辽宁师范大学,汪芮、郭丽丽、董姝彤,刘丹、张永
Table8_138,69128,二等奖,山林的呼唤,辽宁师范大学,郭夏萌、陈锋、丁悦茗、田丰源,刘丹
Table8_139,69130,二等奖,瓷·肆,广东医科大学,陈旻悦、简玮,周珂、何文广
Table8_140,69141,三等奖,捻纸记忆创生传承设计,常州大学,常家强、卢国庆、田紫彤,刘苏文、李宪锋
Table8_141,69143,三等奖,超级云课堂—教学工作辅助平台,广东财经大学华商学院,邱福灿、刘使峻、禤志涛,陈刚、文晓棠
Table8_142,69145,三等奖,基于超体素的多模态 MRI 脑肿瘤分割预处理应用系统,辽宁师范大学,连子怡、赵敏清、刘小宇,方玲玲
Table8_143,69172,三等奖,社区医疗智能服务平台,肇庆学院,苏海城、赖景俊、李博伦,王俊波
Table8_144,69175,三等奖,《静夜思》,辽宁师范大学,姜思宇、张力文、姜辉,张永、林彬
Table8_145,69212,三等奖,夜阑黎锦梦在东方,海南师范大学,谭琪贺祎、莫浩然、杨咏其、郭秋豪、马康奇,胡凯、杨路鑫
Table8_146,69219,一等奖,回乡偶书,海南师范大学,郭雅惠、韩露怡、陈思宇,罗志刚、王觅
Table8_147,69227,一等奖,簪魂,海南师范大学,何紫薇、孙彪、刘阳、李松、魏俊镐,胡凯
Table8_148,69239,二等奖,花木兰,海南师范大学,黄伊珑、陈舒贤、林安琪、朱德贵、陈香凝,杨路鑫、邱春辉
Table8_149,69242,二等奖,勾股定理,海南师范大学,谢兴、李璇、田野,罗志刚、叶成徽
Table8_150,69259,二等奖,基于 Echarts 基础教育信息化数据可视化,海南师范大学,尹兴翰,王觅、罗志刚
Table8_151,69276,三等奖,古味轶事之赠汪伦,海南师范大学,卢泓羽、王子一、龚佳颖,罗志刚、周玉萍
Table8_152,69286,一等奖,Scratch 视频侦测带你走进“体感世界”,海南师范大学,赵婷婷、徐文群、陈芳,罗志刚、邱春辉
Table8_153,69304,三等奖,复工复产防疫攻略信,大连大学,伍智泓、严陈凯、张真玮,张铁成
Table8_154,69308,三等奖,故宫文化创意智能音响,大连大学,尹晓娇、米晶爽、张泽生,张铁成
Table9_155,69311,三等奖,中华优秀传统文化—茶道,大连大学,王跃、金虹男、董书轩、高维远,金杰、张华
Table9_156,69314,三等奖,有趣的测量,大连大学,姜鸿、孙海朝,赵弘
Table9_157,69316,三等奖,中国战“疫”,大连大学,刘文俊、黄光辉,宋杨
Table9_158,69317,三等奖,基于爬虫技术的疫情新闻及数据可视化平台,广东药科大学,林梓鸿、刘宝山、黄杰辉,郭雷勇
Table9_159,69319,三等奖,皮影戏曲小匠人,大连大学,孙晓慧、陈忆明、王鑫淼,贾卫平、何利
Table9_160,69335,三等奖,那就“算”吧,海南师范大学,雷潘、杨柱,张学平
Table9_161,69339,二等奖,《拗九节》,三明学院,林永垄、沈晓滨、俞航、蔺子轩、陈小江,王涛、张欣宇
Table9_162,69354,三等奖,“疫”些事（战役——胜利）,大连大学,戴滟霁、白芳铭,时慧娴
Table9_163,69356,三等奖,百鸟奇观,大连大学,刘君安、耿健、韩郴、张恒瑜、赵子瀚,贾卫平
Table9_164,69357,三等奖,民族的，世界的,大连大学,陈荣清、廖燕薇、张茜,张铁成
Table9_165,69379,三等奖,贺新春,广东外语外贸大学南国商学院,林秋文,曾显峰
Table9_166,69393,三等奖,房产经纪人高佣报备系统,沈阳城市学院,冷雪、王洪涛、张芷源,陈思、崔满
Table9_167,69396,三等奖,住院管理智慧信息平台,闽江学院,高钰溪、郑玲彬、李梦华,郑云坚、张福泉
Table9_168,69397,二等奖,友聊创作分享系统,闽江学院,陈昀昊、薛沐凡、方友鑫,林叶郁、张福泉
Table9_169,69401,三等奖,视障碍辅助,广东东软学院,尤广崟、廖鹏,苏康
Table9_170,69415,二等奖,Baiji Spirits 【 Vanish in silence„】,广东东软学院,刘逆凡、李飞凡、邹宇航,包文夏、刘云鹏
Table9_171,69419,三等奖,广府印象,广东东软学院,姚蔼铭,孔紫菲
Table9_172,69429,三等奖,鸾栖之森,广东东软学院,陈勇、江雨庭、凌方立,李晶、吴志达
Table9_173,69434,二等奖,智慧校园教学楼节能管理平台,南京工业大学,蒋旭、许景澄、陈昱豪,唐桂忠
Table9_174,69437,三等奖,被遗忘的语言,福州工商学院,杜璟妮、叶辰羚,丁俊珺
Table9_175,69438,三等奖,了解 Oracle 数据库,广东东软学院,刘景辉,吕永国
Table9_176,69450,三等奖,面向人脸识别和大数据智能推荐的新零售系统,东南大学,王浩宇、林敬凯、刘凯,金嘉晖
Table9_177,69452,二等奖,SEU 校友圈,东南大学,梅磊、梅洛瑜、杨昱昊,陈伟
Table10_178,69453,一等奖,Holographic Class——混合现实互动教学系统,东南大学,于千、姚志伟、宋媛媛,陈伟
Table10_179,69454,三等奖,树与二叉树互动教学网页,东南大学,戴政、曾维民、张驰,张天来、陈伟
Table10_180,69461,二等奖,天气之子——基于深度学习的雷达回波预测与短临暴雨预警系统,东南大学,栾岱洋、曹中豪、李浩瑞,牛丹
Table10_181,69475,三等奖,成器餐具,东莞理工学院,赖润峰、叶淑贤、俞诗妮,陈昱甫
Table10_182,69476,二等奖,《梦付千秋星垂野》 TGA 历年年度游戏展示动画,东南大学,苏伊达、李林娇,N/A
Table10_183,69482,三等奖,全球疫情数据可视化及归因分析,东南大学,滕晓坤、符张暘、潘航,陈伟
Table10_184,69485,二等奖,《民族之裳》系列服饰文化插画,东南大学,程宇琛,N/A
Table10_185,69486,三等奖,即刻云印——开启智能共享与自主可控云打印新时代,东莞理工学院,徐子煌、阮高飞、陈灏嵘,敖欣、赵海峰
Table10_186,69487,二等奖,叮咚党建,东莞理工学院,黄佳福、胡佳华、朱映睿,赵海峰、敖欣
Table10_187,69492,三等奖,中国绳结与竹编——传统编织记忆的新生,东南大学,丁子珂、章广艾、崔建章,许继峰、陈伟
Table10_188,69496,一等奖,一年又一年,东南大学,赵翌含,傅丽莉
Table10_189,69498,三等奖,蓝殇,东南大学,刘汉仪、朱钰,卢衍鹏、陈伟
Table10_190,69503,二等奖,合鸣,东南大学,王心怡、李浩然、孙稚婷、高婉婷、崔建章,郑德东、许继峰
Table10_191,69509,三等奖,“知识云”在线客观题共享与练习系统,中山大学,谭嘉伟、张展邦,阮文江、毛明志
Table10_192,69512,三等奖,智能康复拐杖,宿迁学院,董佳楠、孟娇娇、位健,许崇彩、史洪玮
Table10_193,69522,二等奖,《笔锋尖上，不减毫情》,南京邮电大学通达学院,胡笑莹,卢锋、张金帅
Table10_194,69527,二等奖,基于微信小程序的校园信息一体化服务平台,南京邮电大学通达学院,李明康、郭若楠、徐欣,余永红
Table10_195,69530,三等奖,《迁徙》,南京邮电大学通达学院,罗家伟、陆智恒,王斌
Table10_196,69531,二等奖,《盆山烟翠》,南京邮电大学通达学院,刘淑琳、冒成明、彭仕燚、黎莹杉、李延晨,王斌、王琪
Table10_197,69535,三等奖,智慧分智能垃圾桶,南京理工大学,张振源、侯祥鹏、杨智钦,马勇
Table10_198,69536,二等奖,“净拾者”——医疗垃圾捡拾机器人,南京理工大学,李玉杰、许力丹、王嘉莉,马勇
Table10_199,69542,三等奖,《机器人传感器》微课,江苏第二师范学院,刘磊,王会霞
Table10_200,69543,三等奖,黑科技里的 3 个“R”——VR、AR、MR,江苏第二师范学院,蔡婧、毛晨晨,张思维
Table10_201,69544,二等奖,AI 合成人脸识别系统,广东理工学院,高庆、马楚涛,向志华、梁玉英
Table11_202,69553,一等奖,基于区块链的可溯源基金会运营平台,广东科技学院,岑东桦、黎智健、黄鉴熙,黄欣欣
Table11_203,69554,二等奖,暖到小程序,广东科技学院,张文权、吴俊淇、周兴毅,黄欣欣、龚澍
Table11_204,69557,二等奖,中国韵味,广东科技学院,陈莞娇、陈健、史烁泓,邓超、甘晓楠
Table11_205,69607,二等奖,飞焰星雨,南京理工大学,任亚聪、赵鹏、赵宇心,马勇
Table11_206,69608,二等奖,大舆舆情分析系统,辽宁科技大学,宋健、王贺、沈熙,张秀梅
Table11_207,69610,三等奖,基于 Dubbo 分布式框架技术的混合教学管理平台,辽宁科技大学,钟平、孙鎧、冉运环,李林林、孙良旭
Table11_208,69618,二等奖,基于人脸搜索及 PWA 智能救助系统,辽宁科技大学,李想、杨维昊、王晶莹,张玉军
Table11_209,69623,三等奖,辽科课堂,辽宁科技大学,王楚文、龙远吉、王鑫,孙红岩
Table11_210,69625,三等奖,《鸟鸣涧》微课,辽宁科技大学,单瑞晴、闫萱、魏怡,李迎春
Table11_211,69631,三等奖,虞韵缭绕,常熟理工学院,束栋梁、宋昶岑、倪娴,马建梅、王天赋
Table11_212,69632,三等奖,基于行为轨迹分析的智能定位系统,辽宁科技大学,赵宣乔、白宇航、于世通,尹航、董立文
Table11_213,69633,三等奖,分布式物联网平台,辽宁科技大学,刘欣欣、王伟祥、孙宇成,吴建胜
Table11_214,69635,三等奖,车载驾驶员安全驾驶检测系统,辽宁科技大学,杨维昊、余瑾、李想,张媛媛
Table11_215,69637,二等奖,万无疫失,辽宁科技大学,郭鹏飞、徐雨婷、刘一纯,袁平、云晓燕
Table11_216,69638,三等奖,“疫”目了然,辽宁科技大学,李卓越、温毅玉、孙佳莹,云晓燕、袁平
Table11_217,69643,三等奖,“又见敦煌”衍纸系列作品,辽宁科技大学,戴治玥、李晨阳、陈杰,张倩
Table11_218,69645,三等奖,千寻鸟迹,辽宁科技大学,郝国鹏、张哲豪、孙巧巧、王楠、王茵如,艾青
Table11_219,69646,三等奖,书法追寻,辽宁科技大学,蒋元鹏、高羽曦、张桐桐、李晟宇、孙琬琪,云晓燕、鹿坦
Table11_220,69670,二等奖,可重构模块化机器人编程平台,广东工业大学,陈余、郭润东、魏桂佳,谢光强、李杨
Table11_221,69674,二等奖,苏市巷语,常熟理工学院,张韫、吴训建、韩技云,王天赋、马建梅
Table11_222,69680,二等奖,候鸟的奇妙冒险,广东工业大学,吴永力、何家浩、郭润东、李慧婷,谢光强、钟怡
Table11_223,69685,三等奖,基于定位技术的安全急救系统,广东工业大学,欧阳开多、彭文胜、李慧婷,谢光强、程良伦
Table11_224,69700,二等奖,拯救 Dodo,江南大学,冯一诚、陈辉、陈露、卓子晴、罗晓晴,章立、盛歆漪
Table11_225,69704,二等奖,凉风有信,江南大学,陈佳佩、张立一,陈晨
Table12_226,69705,二等奖,古韵义乌,江南大学,幸冰心、刘源、苏雨莲,李振宇
Table12_227,69707,二等奖,民香,江南大学,蔡雪岩、鄢祺丹、李俊姗,梁若愚
Table12_228,69710,二等奖,疫情之下 hypothalamus,江南大学,陈奕璇、邵灵雁、李心羽,昃跃峰
Table12_229,69711,二等奖,HeartBeat 心脏疾病智能辅助诊断系统,江南大学,杨晨、刘凡、汪思瀚,蒋亦樟、钱鹏江
Table12_230,69723,二等奖,“和”——二十四节气动态演绎,江南大学,龚雅萱、陈雅文、肖海怡,陈晨
Table12_231,69727,三等奖,《梅映雪》,三明学院,李宇帆、李伟萱,原佳丽、邱国鹏
Table12_232,69730,三等奖,湖泊污染物监测系统,湖北工程学院,乔盛达、苏正平、蒋应东,王维虎
